Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
The Subset-Sum Problem,Koiliaris and Xu,2019,4,11461.01030927835,83,67,2
The Subset-Sum Problem,Bringman,2017,4,0.0,83,67,1
Maximum Subarray Problem,Faster Brute Force (via x[L:U] = x[L:U-1]+x[U]),1977,5,12457.59793814433,46,28,1
Maximum Subarray Problem,Perumalla and Deo,1995,2,0.0,46,28,2
Motif Search,Speller,1998,5.5,0.0,35,20,1
Motif Search,Mitra,2002,3,0.0,35,20,2
Motif Search,Census,2003,3,0.0,35,20,2
Motif Search,Risotto,2006,5.5,86.84536082474227,35,20,4
Motif Search,PMS,2007,5.5,86.84536082474227,35,20,3
Change-Making Problem,Dynamic Programming,1953,5,4004.0,83,9,1
Matrix Chain Multiplication,Czumaj,1996,2,4052.020618556701,83,27,1
Matrix Chain Multiplication,Czumaj,1996,1.99,4052.020618556701,83,27,1
Matrix Chain Multiplication,Chandra,1975,3,0.0,83,27,2
Matrix Chain Multiplication,Chin,1978,3,4052.020618556701,83,27,1
Matrix Product,Bini's algorithm,1979,4.38995,0.0,83,9,4
Matrix Product,Schonhage's algorithm,1980,4.2609,3278.9484536082473,83,9,1
Graph Coloring,"Karger, Blum",1997,7,0.0,171,34,2
Graph Coloring,Brélaz (DSatur),1979,5,302.27450980392155,171,34,1
Maximum Cardinality Matching,Micali and Vazirani,1980,5.5,2304.5257731958764,67,12,2
The Traveling-Salesman Problem,Miller-Tucker-Zemlin (MTZ) formulation,1960,8,47464.0206185567,69,21,3
The Traveling-Salesman Problem,Dantzig-Fulkerson-Johnson (DFJ) formulation,1954,8,47464.0206185567,69,21,3
The Traveling-Salesman Problem,Barvinok,2003,5.01,0.0,69,21,6
Feature Detection,L. Kitchen and A. Rosenfeld,1982,6,4344.938144329897,43,8,2
The Set-Covering Problem,Chvatal greedy heuristic,1979,5,6902.350515463918,51,17,1
The Set-Covering Problem,Alon; Moshkovitz & Safra,2006,4,6902.350515463918,51,17,3
Motif Search,Roth AlignACE,1998,3,0.0,35,20,4
Texture Synthesis,non-parametric sampling Efros and Leung,1999,6,860.3814432989691,25,22,2
Texture Synthesis,image analogies Hertzmann,2001,3,860.3814432989691,25,22,5
Texture Synthesis,R. Paget ; I.D. Longstaff,1998,6,860.3814432989691,25,22,2
Texture Synthesis,Image quilting Efros-Freeman,2001,6,860.3814432989691,25,22,2
SLAM Algorithms,EKF SLAM,1998,6,15218.62886597938,25,20,4
SLAM Algorithms,UKF,2000,6,0.0,25,20,2
SLAM Algorithms,Compressed Extended KF,2002,6,0.0,25,20,1
SLAM Algorithms,Rao-Blackwellized Particle Filtering SLAM,2001,5,8201.525773195875,25,20,1
Graph Coloring,Petford and Welsh,1989,4,0.0,171,34,2
Graph Coloring,Fomin; Gaspers & Saurabh,2007,8,13713.886597938144,171,34,3
